Average_Lifespan (Years),Weight (kg),Height (cm),Speed (km/h),Endangered_Level (1-5),Cluster
8,2740.44,55.2,24.16,3,1
78,2401.91,127.83,69.38,1,2
45,1533.59,113.89,52.5,4,0
58,4966.12,232.04,75.73,1,2
50,1239.28,366.95,98.84,4,0
41,1353.91,314.82,18.5,4,1
18,2430.9,356.06,14.8,2,1
78,2291.78,286.27,46.47,5,0
25,4169.47,34.89,51.7,5,1
69,1804.69,394.73,66.3,1,2
25,2194.48,182.97,53.89,2,2
6,1314.57,153.18,43.25,4,1
65,751.04,368.53,66.08,1,2
10,3919.15,92.94,58.11,3,2
64,4275.19,204.63,92.95,3,0
74,4438.32,281.83,73.49,4,0
68,365.99,72.62,88.93,4,0
9,1758.39,165.55,92.36,5,0
28,1906.74,261.04,45.06,5,1
21,1570.01,113.27,8.95,4,1
41,1836.43,339.98,20.18,4,1
29,2643.45,296.07,28.28,2,2
67,2337.99,307.19,77.28,2,2
79,4206.18,215.79,79.16,3,0
30,2705.48,140.71,51.57,2,2
52,3708.46,40.86,94.35,4,0
57,3989.88,246.13,86.28,2,2
8,1426.27,362.12,79.95,4,0
34,3322.51,399.57,69.54,2,2
76,3838.05,132.98,15.89,2,1
75,3627.78,217.58,69.4,4,0
64,1890.42,300.52,44.34,2,2
42,607.58,296.54,33.29,1,2
39,3606.45,260.94,71.56,2,2
37,1426.71,293.31,49.29,3,1
9,1127.0,394.07,45.07,2,2
60,4333.72,361.23,95.65,2,2
52,321.92,345.19,53.54,3,0
46,4486.17,168.61,36.12,3,1
64,1485.83,228.57,70.18,2,2
46,1107.85,345.23,31.0,2,2
8,2526.88,364.38,81.72,3,0
36,1048.24,221.17,94.71,3,0
23,1275.89,340.56,30.24,1,2
9,1836.75,147.28,81.56,2,2
69,3680.54,243.1,61.89,5,0
76,1037.84,71.46,13.72,1,2
73,4577.22,46.45,85.29,5,0
10,1311.08,24.99,85.22,5,0
51,2535.01,390.05,85.41,1,2
77,870.27,283.12,79.62,2,0
50,4930.49,192.65,74.7,2,2
61,2102.11,288.12,61.76,4,0
43,2070.91,184.85,67.07,1,2
31,780.59,302.54,19.71,5,1
12,626.52,147.41,59.92,5,0
14,4072.83,147.7,81.27,2,2
46,4478.57,390.71,84.07,2,2
37,3625.44,46.78,16.33,4,1
15,600.27,32.21,36.64,2,2
16,1288.36,96.07,44.6,2,2
70,2104.39,181.84,79.49,1,2
68,3930.23,22.62,33.73,5,1
59,3688.51,386.52,66.91,5,0
29,1370.9,203.13,46.59,2,2
79,2995.59,197.62,77.34,5,0
29,3151.28,36.38,69.51,2,2
72,2083.67,393.88,11.15,2,1
44,2397.02,145.21,87.54,4,0
68,4912.87,158.67,88.47,5,0
75,2858.56,339.85,95.48,4,0
36,2390.72,202.9,60.86,1,2
35,3824.39,64.68,78.44,4,0
51,1270.53,74.12,8.3,2,1
35,44.6,85.7,98.52,5,0
28,4577.01,324.07,7.64,4,1
69,4561.93,273.74,93.02,1,2
38,4026.54,115.12,13.15,1,2
46,748.76,373.88,60.08,5,0
5,3247.52,60.53,38.32,1,2
52,4911.22,270.18,43.17,1,2
23,4328.99,306.27,64.88,2,2
26,2862.31,73.98,88.13,2,2
73,363.05,250.69,38.15,2,2
13,3786.94,49.05,96.11,1,2
74,4888.21,165.03,85.58,2,2
24,3062.22,241.65,21.97,1,2
29,2934.61,30.43,9.06,2,1
76,1258.57,335.06,69.09,5,0
21,4856.85,27.61,51.17,3,2
20,2039.17,216.3,85.5,3,0
16,2015.94,145.51,23.36,4,1
46,2167.94,325.85,25.98,2,1
73,2218.03,229.09,90.95,1,2
8,3837.95,326.32,60.43,4,1
39,1942.4,321.31,52.04,2,2
27,4657.95,369.66,75.53,1,2
34,3498.04,85.05,73.63,1,2
77,2969.38,205.62,12.49,5,1
26,532.26,90.65,69.75,1,2
49,4414.14,305.63,85.85,3,0
12,4421.37,169.68,33.88,1,2
73,2075.93,84.22,47.18,2,2
26,2994.86,21.7,69.2,2,2
16,572.67,43.53,60.12,5,0
34,4526.82,244.97,82.32,3,2
7,4675.89,250.93,40.2,3,1
34,831.74,197.19,66.65,3,0
78,3208.28,151.02,44.46,2,2
59,651.65,319.52,65.32,5,0
65,257.83,300.17,7.15,1,2
57,4847.65,48.31,96.33,3,0
48,4332.41,381.38,7.63,5,1
37,4092.75,268.23,61.66,5,0
60,918.31,149.46,10.84,2,1
57,2110.94,362.18,95.46,5,0
76,2572.11,98.63,74.06,3,0
14,1951.28,330.85,28.96,3,1
55,4474.63,28.38,27.75,2,2
39,574.43,282.02,87.45,4,0
45,3642.57,185.18,26.88,2,2
69,924.6,304.51,72.31,4,0
68,177.15,380.07,36.66,3,1
30,3267.4,280.97,91.14,4,0
59,483.33,91.59,30.73,4,1
27,1537.7,129.27,83.29,1,2
10,2700.49,97.64,41.46,3,1
33,2059.32,91.56,56.75,5,0
12,349.26,221.18,8.95,4,1
6,1025.54,356.39,69.11,3,0
55,316.37,354.01,46.76,4,0
22,2376.0,249.5,91.16,4,0
66,1168.11,27.45,54.03,4,0
63,1814.37,224.6,96.38,4,0
79,1805.35,197.27,71.53,3,0
48,4136.1,42.45,33.86,1,2
69,1518.79,103.49,25.89,1,2
41,1640.1,345.67,46.04,1,2
13,1832.03,156.29,34.52,5,1
37,4694.81,45.11,80.99,3,2
48,1845.65,64.05,6.48,3,1
56,1294.52,181.91,77.14,1,2
52,1146.52,59.75,73.93,3,0
39,1591.13,69.7,67.27,3,0
44,1599.53,144.93,13.21,1,2
73,1812.67,198.75,98.1,3,0
27,4031.31,94.92,7.28,5,1
50,3313.52,102.76,56.64,5,0
20,1363.86,221.15,22.07,1,2
38,2235.84,113.92,68.1,4,0
56,442.52,314.99,69.06,4,0
22,2277.1,389.26,43.1,2,2
64,1760.97,322.35,19.34,2,1
70,2268.71,227.59,56.5,3,0
57,4147.05,284.76,60.72,5,0
46,3275.67,175.91,94.19,4,0
35,4299.64,32.95,75.69,5,0
75,1388.48,341.49,99.72,3,0
5,1997.13,89.61,9.11,1,2
59,988.17,134.55,10.2,5,1
34,3686.94,124.88,49.92,3,2
77,2019.19,31.16,90.69,5,0
54,3124.16,84.21,32.06,1,2
12,989.89,35.37,91.77,4,0
25,3110.68,183.68,64.61,1,2
63,2791.75,341.53,61.05,5,0
75,3030.83,318.21,87.41,4,0
69,826.45,395.18,9.1,1,2
40,996.23,203.64,74.13,5,0
5,495.8,89.92,64.94,2,2
53,673.44,351.38,40.02,5,1
15,3185.19,237.34,23.88,5,1
50,3369.36,73.56,75.55,1,2
42,3468.55,350.21,76.86,5,0
66,2164.75,392.32,17.84,5,1
5,4149.64,214.81,93.38,1,2
42,1546.68,381.28,54.14,1,2
21,3547.12,351.45,21.8,2,1
29,4913.71,372.02,91.63,5,0
56,1030.52,62.34,68.93,4,0
17,4548.96,339.35,45.54,5,1
6,1516.09,214.73,87.35,5,0
65,1949.95,175.93,77.42,2,2
41,4771.65,246.22,28.4,4,1
18,254.98,288.65,91.76,5,0
70,599.1,83.83,58.19,4,0
51,555.76,241.82,96.74,1,2
32,168.62,180.95,47.04,2,2
17,343.07,105.9,98.89,3,0
35,1823.2,238.88,50.62,4,1
24,2022.22,296.78,68.95,4,0
65,1774.95,43.72,84.95,2,2
21,1798.2,119.83,95.74,5,0
8,660.78,274.31,65.67,2,2
23,456.74,189.16,39.89,5,1
42,3099.62,101.81,5.39,5,1
10,3368.73,315.35,47.82,1,2
29,66.65,388.69,81.0,2,2
5,1189.78,207.9,81.33,4,0
11,1142.32,263.92,31.54,4,1
35,1392.3,373.07,8.46,1,2
40,3455.57,100.28,62.65,2,2
9,3953.7,83.89,76.87,3,2
18,4266.06,334.34,16.5,1,2
15,1537.99,135.56,60.74,2,2
7,4162.41,107.42,88.43,2,2
21,1744.9,49.1,72.32,3,0
30,2156.3,234.44,79.05,1,2
30,2793.44,138.3,88.48,1,2
45,1506.0,178.85,15.98,2,1
79,4166.62,262.48,9.91,4,1
31,4983.09,302.24,98.91,1,2
51,4554.28,395.39,51.65,2,2
49,4577.39,315.84,18.22,1,2
33,4127.93,177.2,35.62,1,2
51,794.69,33.05,43.73,2,2
62,4793.89,192.53,64.28,5,0
32,286.66,216.6,92.81,2,0
6,61.2,94.36,92.96,5,0
13,2345.41,321.77,72.9,1,2
67,934.21,92.68,23.58,1,2
72,4279.05,344.37,10.18,1,2
35,1363.17,83.96,67.15,4,0
18,4180.39,159.78,66.77,3,2
31,1409.91,263.47,38.25,5,1
50,2673.12,26.75,8.02,5,1
25,1211.24,369.3,95.39,5,0
13,3048.45,171.9,69.09,3,2
57,3932.16,120.2,25.6,4,1
27,577.68,256.38,6.37,4,1
49,1837.55,387.3,97.44,5,0
13,3002.47,204.25,72.79,3,2
52,3950.89,291.94,11.95,2,1
52,473.4,139.58,71.23,2,2
22,3004.99,46.98,26.5,1,2
77,1281.43,98.67,82.2,1,2
15,2915.76,53.49,73.62,3,2
31,1234.82,186.6,85.69,5,0
30,76.55,31.55,33.48,2,2
75,1697.21,148.46,15.56,1,2
8,1457.67,322.46,64.6,2,2
15,2394.77,289.51,35.77,4,1
42,3542.01,274.93,24.91,1,2
38,2263.71,261.59,43.47,4,1
12,275.94,384.16,97.79,3,0
67,758.61,131.31,12.03,4,1
6,4091.65,257.73,76.17,5,0
62,2023.9,194.0,61.48,4,0
57,2162.23,391.85,62.16,1,2
40,4200.32,49.66,97.19,4,0
26,4097.5,380.24,6.93,1,2
20,3561.69,206.45,43.96,1,2
29,2086.41,121.44,55.69,1,2
59,3727.54,345.63,54.05,3,2
22,1384.45,190.96,71.97,1,2
60,251.4,227.21,40.0,2,2
45,2697.02,189.58,54.1,5,0
28,3031.93,172.79,95.46,1,2
23,2370.52,142.29,61.46,5,0
30,3690.49,243.21,19.25,2,1
